,text
2569,trying explain mrna vaccineshave decided itlike 3d printing cell 
2570,vaccinated dose 2 2 family friend patient literally everyone hereto 
2571,received 1st tonight mayoclinichesitated join 
2572,second arm yay thank macroliter emerl9 
2573,team getting covid 19 vaccination 
2574,kombuchababy dear amp others work employer want 
2575,lbc btw germany examined efficacy stretching time beween injection amp co 
2576,dose 2 farve become ill significant side effect although photo compa 
2577,2 virus passed long ago in2 human 
2578,first dose vaccine delighted gotten ahead final clinical placement massi 
2579,morning update second dose pfizer vaccine arm sore around injection site bad 
2580,must honour protocol dischargeduty candour informing staff manufacturer guarante 
2581,second covid vaccine side effect sore arm amp gratefulness please consider getting shot itavailable 
2582,thanks 
2583,pfizer covid vaccine protect super contagious covid strain including south african mutation stud 
2584,early study suggests appears effective mutation new variant thoug 
2585,everyone get infection prepares body fight effectively 
2586,fully vaccinated 
2587,sadly theyrun got somehowm coping balanchinehadcareful read 
2588,healthy 56 year old miami obstetrician died taking pfizercovid 19 vaccine 
2589,got second shot vumchealth memento canwait family friend p 
2590,vaccine crazy busy vaccination centre afternoon 
2591,reposting suirauqa safety everyone orbitmy loved one amp stranger walk ou 
2592,afraid vaccine becausebelieve trust science 
2593,itbeen two hour sincehad first jab second scheduled march 19was told experience flu lik 
2594,true awfully good news 
2595,listen expert get necessary info donetremendo 
2596,overheardconversation walking pfizer 95 effective oxford 70 effective pfizer v 
2597,dose 2 grateful honored able get vaccine early letfollow science end pandemic 
2598,first dose vaccine today glad see medical student included rollout 
2599,dear american friend 2 lt 
2600,safety everyone orbitmy loved one amp stranger walk outside todaygot 
2601,well worthlisten people wondering challenge delivering pfizer vaccine curr 
2602,uipharmacy phew glad itthe end week busy vaccine plus helping people 
2603,sdstatepharmacy phew glad itthe end week busy vaccine plus helping people 
2604,epsfeg officialustjpa pssa_ rgupharmacycom1 mkupharmacy nphapharmacy phew glad itthe end week 
2605,taking three covid vaccine become immortal 
2606,inpharmacists capsinational qphus ph_434 nebraskapharm phew glad itthe end week busy 
2607,soooofinally get shoot shot 
2608,apology nothot take tell thatgot second dose vaccine 
2609,relieved hear 84 year old father recieved second dose 
2610,let dose go waste lucky called 15mins away missinternal team meeting totally wort 
2611,know vaccine rollout messy across country right nice see many people hosp 
2612,people keep dying getting vaccine one u one portugal also one norway 
2613,read temperature data logger developed filesthrutheair comarkglobal testolimited used ensu 
2614,grand round today jan 8 dr emilycob dukemedschool share overview 
2615,team already vaccinated 3 000 patient another 1 000 
2616,first covid vaccine 
2617,reportedlypopulation close 1 5 million people given 
2618,borisjohnson disgusted hubby2nd covid jab cancelled ob following science set pfizer_uk 
2619,iexperiencing immense fatigue muscle ache 2nd dose 1st dose waswalk park might 
2620,congress stop politicizing covid 19 pandemic start addressing crisis without lockdown 
2621,grateful received 2nd installment covid 19 vaccine feel great amp ready take 
2622,proud grateful fully vaccinated thank umiamihealth 
2623,good news end week 
2624,sogot first part dose vaccine wed afternoon side effect expected yesterday 
2625,holdbig bag changing world one day attime vet 
2626,found asstudy participantwas vaccine grouphave seen side effect 
2627,new study suggests vaccine effective mutation 
2628,95 protected 100 grateful science scientist 200 recommend get 
2629,immensely grateful able receive first dose vaccine today right husband 
2630,hadpretty rough time 1st vaccine expecting haverough time 2nd indicative 
2631,pfizer say vaccine appears effective new covid 19 variant pfizer 
2632,huge planned winter rollout done using despite 
2633,great uncle 90 yr old second jab yesterday infew week fully working science incredible 
2634,regulator authorised use vaccine moderna vaccine th 
2635,got vaccine today 
2636,privileged administering vaccine iownhs monumental day 
2637,delighted get first part vaccinee complete 
2638,covid pfizer vaccine today even though covid last year top antibody level 
2639,london reuters appeared work againstkey mutation highly transmissi 
2640,dose 2 15 hour updatewoke withsore arm otherwise well 
2641,grateful received covid 19 vaccine today well done peer 
2642,
2643,kick interesting discussion 3 week v 12 week gap dos vaccine 
2644,india coronavirus death toll reach 150 606 
2645,stephenmangan jonathanpienews vaccine local 
2646,dontake like nuremberg trial past 10 year 
2647,australiavaccine approval remember frontline worker v 
2648,grateful frontline staff commhealthmw amp hselive cnm1 nessa merrigan received first 
2649,dad got 1st part pfizer covid vaccine today case wondering hehad adverse reaction 
2650,itgoing like gryffindor slytherin hufflepuff house isnit ohm 
2651,leadership netanyahu letbe honest donhave leader calibre uk mo 
2652,welcome vaccine uk health important u please continue hold 37 544 493rd queue 
2653,moderna astrazeneca could rolled early next year asked expert explain 
2654,pfizer biontech vaccine appears resistant new covid variant study find as record deadly day 
2655,early data show vaccine appears work certain variant 
2656,grateful opportunity receive first dose vaccine morning 
2657,dose 2 update 24 hour arm soreness bad first dose 12 hour post 
2658,30 12 20 borisjohnson made decision delay 2nd dose uk effort get mo 
2659,update vaccine arm bonus waiting long 2nd jab dead heavy arm might recovered time 
2660,eadt24 
2661,uhd covid 19 vaccine done fast efficient service vaccine team bournemouth site thank grateful 
2662,market stock news 
2663,new 
2664,dmodoscutter sarahamandes caz00899648 parents_utd ukactionteam sadiqkhan seems like govare putting two 
2665,drsimonhodes drphilhammond nikkikf trishgreenhalgh annita_mcveigh anecdotally staff w 
2666,import ofs british vaccine country bannedhave told official andm saying 
2667,science rule itbeenlong year light end tunnel keep washing hand wearin 
2668,making thanks everyone made possible starting scientist lo 
2669,received morning needle sayll still making surefoll 
2670,vaccine overview eu_commission two vaccine currently authorised that760 million dos rolled 
2671,seesituation traveller required vaccinated certain vaccine approved certai 
2672,update vaccine given yesterday hullhospitals arm slightly sore n 
2673,trust science amp scientistsbelieve first dose protect enough long ascontinue adhering 
2674,3rd high number dos administered per 100 people kingdom launched 
2675,beware nut advising vaccination could hazardous health nation 
2676,vaccine effective south african variant vaccine eff 
2677,government rapidly expanding programme ensure everyone protected nearly 1 
2678,gmb kategarraway give stanley johnson vaccine service vulnerable group 
2679,08 01 2021 feeling blessed grateful eligible vaccine protecting family frien 
2680,eu double covid vaccine deal pfizer 600 million dos 
2681,european commission proposes eu member country buy additional 200 million dos covi19 vacci 
2682,study suggests vaccine work virus variant 
2683,mum first jab staff medic absolutely wonderful scientist volunteer 
2684,remember commission acted investor bankrolling pharma build capacity wouldnhave 
2685,remember choosing coronavirus vaccine 
2686,75 mo additional dos delivered starting 2nd quarter 2021 one 
2687,got vaccinates emeunet 
2688,european commission proposed eu member state purchase additional 200 million dos covid19 vaccine 
2689,grandmother lucky one first world receive managed 
2690,europe doubled deal giving access 600 million dos vaccine 
2691,appeared work againstkey mutation highly transmissible new variant 
2692,keir_starmer agreed johnson government headed another major error 12 week inter 
2693,khairykj said public must sufficiently briefed immunisation pro 
2694,johnmoore take vaccine one lump two bmj_latest 
2695,covid 19 vaccine delay delay second dos bmj_latest 
2696,adamfleming watch show process drawing vaccine delicate 
2697,covid 19 vaccination whatthe evidence extending dosing interval bmj_latest 
2698,look like work study 
2699,india coronavirus death toll reach 150 606 
2700,study suggests vaccine work virus variant 
2701,pfizercoronavirus vaccine protects new variant found uk south africa study 
2702,pfizer biontech vaccine appears effective mutation new coronavirus variant 
2703,pfizer say covid 19 vaccine appears work key mutation variant first found uk south afric 
2704,pfizer biontech vaccine appears effective mutation new coronavirus variant study reuters 
2705,appeared work againstkey mutation highly transmissible new variant 
2706,u drugmaker conduct study say pfizer biontech vaccine appear effective new mutation 
2707,covid 19 vaccine update covid 19 vaccine effective uk variant study find 
2708,vaccine could effective new mutant strain covid 19 
2709,vaccine appears effective mutation new coronavirus variant study 
2710,appeared work againstkey mutation highly transmissible new v 
2711,got booster zab 
2712,pfizer biontech vaccine appears effective mutation new coronavirus variant study 
2713,pfizer say appears work new strand discovered united kingdom 
2714,suchmoment putting herethanks posted already advocating strongly vacc 
2715,pfizer say appears work found 
2716,pfizer say appears work found 
2717,vaccine update 2 2 honored part sickkidstoronto family proud health 
2718,johnmoore take vaccine one lump two bmj_latest 
2719,ontariovaccination site made great progress get vaccine arm health care hero se 
2720,spoke soon heream 28 hour receiving 2nd dose arm 
2721,basically 6hrs post pfizer covid vaccine neck gland swollen weirdly tired arm hurt le flu 
2722,second dose yesterday definitely reactogenicity one 
2723,dose arm get 
2724,covid 19 vaccine delay delay second dos bmj_latest 
2725,covid 19 vaccination whatthe evidence extending dosing interval bmj_latest 
2726,due 2nd dose monday andam working throughout week amgoing manage 
2727,courteous checking pfizer moderna_tx bdabup gracious critical discovery 
2728,fully vaccinated two dosage bye bye 
2729,courteous checking pfizer moderna_tx gracious critical discovery 
2730,covid 19 vaccination whatthe evidence extending dosing interval bmj_latest 
2731,obligatory vaccination picture get vaccinated given opportunity 
2732,investigation norway two people nursing home die getting pfizercovid vax survival 
2733,honour andprivilege beaming pride scientific community incredible feat able star 
2734,got pfizer biontech covid19 vaccine today getting painless felt side effect strongly r 
2735,genuine smile lie mask proudly completed 2 dos vaccine feeling extreme 
2736,reassuring info risk vaccine 11 case per 1 million dos pt 
2737,unexpectedly emotional moment privileged received today awe science got u 
2738,got today letget done 
2739,evidence coronavirus vaccine work second shot come late pfizer biontech bc 
2740,2nd dose 
2741,according news delivered israel early exchange medical data 
2742,fda statement following authorized dosing schedule covid 19 vaccine us_fda 
2743,send rejected vaccine way thereplenty need second promised dose 
2744,cork university hospital vaccinated 3 400 staffthe 1st dose 15000 dos administered 
2745,havingslight fever headache achey muscle booster common 
2746,word express feelingpray end life lost loved one suffered menta 
2747,richlandtwo nurse athletic trainer get vaccinated covid 19 rsd2_nurses 
2748,team starting receive vaccination thanks tremendous effort 
2749,91 year old vaccinated dy day 
2750,experiencingstrange post vaccine side effecthave sense hope andstrange urge buy 
2751,vaccine difference mixed reality news explainer 
2752,well felt good joining rank halfway vaccine club 
2753,feeling grateful hard work many people scientist worker 
2754,unit manager ursula dunson got 
2755,danalbas put bluntly time vaccine delivery makesignificant impact 
2756,anyone feel sorry biontech italways pfizer pfizer like poor relation al 
2757,heard today people refusing want british one 
2758,real testing result coming soon 
2759,skynews vaccine promised 
2760,lab jab 1 year amazing science thanks djpbeirne amp upmcinireland upmc 
2761,govuk ensure new variant able spread easily 2nd jab 
2762,good illustration vaccine work protect mrna inside oily 
2763,took 2nd dose pfizer covid vaccine 7am im still okay sleepy cuzworked nightsh 
2764,happens one vaccine initial dose receive 
2765,kateleahsee recommended gap 3 weekshad 1st one yesterday have9 week gap mine 
2766,14 million vaccine 15th feb that12 7m next 39 day 325 641 per day gov currently averaging 43 333 
2767,breaking italian medicine agency approved use vaccine 
2768,ceo hse paul reid announced today 15 314 people received pfizer biontech vaccine repu 
2769,happy vaccination day 
2770,
2771,death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban importing15 
2772,maryam_rajavi khameneired crescent announcedban import 150 000 
2773,antonioguterres khameneiban purchase 
2774,khameneired crescent announcedban import 150 000 
2775,sitting slow moving line covid vaccine patience must 
2776,maryam_rajavi khameneired crescent announcedban import 150 000 
2777,fully thought received dose 12 15 4late 
2778,khameneired crescent announcedban import 150 000 
2779,antonioguterres khameneiban purchase 
2780,thank vaccination team circuit lane surgery reading well organised mass vaccination progr 
2781,maryam_rajavi khameneired crescent announcedban import 150 000 
2782,maryam_rajavi khameneired crescent announcedban import 150 000 
2783,maryam_rajavi khameneired crescent announcedban import 150 000 
2784,nevermind goofy look face getting second pfizer covid vaccine feeling good power breakfa 
2785,drzerocraic matertrauma maternursing eavanid féidir linn love got vaccine today sivuh cork 
2786,new info everyday covid 19 vaccine get effective coronavirus nee 
2787,mr spock logik ist makellos mr spock logic flaweless 
2788,develop taking 2nd dose 
2789,yesterday rough fatigue headache chill good today far 
2790,yesterday rough fatigue headache chill good today far 
2791,shout lily rn gave dose 
2792,received first dose covid 19 vaccine morning 
2793,feeling good 
2794,breitbartlondonthink vaccine question different 
2795,covid 19 vaccine pfizer biontech ingredient look 
2796,first day 6 1 21 drawing vaccine pcn 
2797,dr marc siegel speeding covid vaccination bidenreversal trump policy help hurt 
2798,spectatorindex pope vaccine thenwonder itdifferent 
2799,vacinado contracovid 19 na sunydownstate comvacina da pfizer orgulho de fazer parte desse momento na tor 
2800,tried save human race extinction 
2801,meganranney interestinglyhad few systemic side effect dose arm soreness 
2802,fully vaccinated 
2803,well done estuary viewgreat daywork 
2804,khameneired crescent announcedban import 150 000 
2805,antonioguterres khameneiban purchase 
2806,maryam_rajavi khameneired crescent announcedban import 150 000 
2807,got vaccine well administered umichmedicine umich stadium luxury stand fanfare f 
2808,anybody thats long arm sore 
2809,get vaccine mixed viagra prince philip majesty heasking visiting dignitari 
2810,chrisshipitvwonder vaccination centre went 
2811,received emoryhealthcare today 
2812,vaccine today hopefully free virus 
2813,1st covid 19 vaccine dose 2nd dose 12 week time 
2814,doncare itthe vaccinem waiting bill gate vaccine 
2815,get vaccinated family community country entire humanity 
2816,khameneired crescent announcedban import 150 000 
2817,antonioguterres khameneiban purchase 
2818,special day today received first dose vaccine feeling extremely lucky privile 
2819,iranian living abroadfeel awkward amp somewhat ashamed thatwill access 
2820,jan 13ll vaccinated feel like finally seeing light end tunnel 
2821,queen amp doevaccines administered byhousehold doctor windsor castle bp say whether 
2822,capp3 thank amazing say vulnerable amp old people living care home f 
2823,let choice vaccine made rest citizen rest areknow 
2824,skynewsbet follow jab within 21 day 
2825,piersmorgan nice say whether royal couple given 
2826,palace source said vaccine administered byhousehold doctor windsor castle wil 
2827,open seventh clinic covid 19 vaccine shot 
2828,today wasgreat day cuh_cork 
2829,smerconishparticipated vaccine study body feelbig difference first second 
2830,first dose covid vaccine received feeling great amp side effect fargreat end wha 
2831,missusryan fergalbowers approved 5 dose per vial it0 45 pe 
2832,rahmstorf severe allergic reaction data mention refer one study one cite 1 
2833,mom supposed receive pfizer biontech vaccine yesterday france cuz history allergy 
2834,wow whatmorning called 30 minute notice atwas 
2835,one week post dose 1 feel great ill effect arm sorenes 
2836,emmakennytv ailsybabe hadsingle dose 50 protection hadsecond dose 90 effectiveness 
2837,khameneired crescent announcedban import 150 000 
2838,antonioguterres khameneiban purchase 
2839,maryam_rajavi khameneired crescent announcedban import 150 000 
2840,feeling relieved amp grateful receive first dose comirnaty sivuh morning th 
2841,exciting time pleased thankful say thathave covid 19 vaccination thank hpft aim ke 
2842,feeling lucky receive first dose vaccine 
2843,2021 far holiday cancelled first vaccine monday 11 01 21 10am find 
2844,delighted vaccine rolled today child psychiatrist across camhs corkkerrych excellen 
2845,verge hitting 1m dos provided ministry health prevention state 
2846,vitro study show elicits antibody neutralize withmutat 
2847,reason inject covid 19 vaccine 6 genetically modifying human dna genetically engineered vaccine unpredi 
2848,got 
2849,potential safety concern include local systemic inflammation negatively impact autoimmunity blood coagulum 
2850,rna vaccine technology never used human moderna pfizer biontech arcturus therapeutic 
2851,littlestourorch yes good idea apart exhaust fume hey extremely well organised well done 
2852,ianstockport brigid1923 ngps collabnewcastle nikkikf got start staff vaccine asked 
2853,reason inject covid 19 vaccine 4 corporate fast tracking spiked placebo withneurotoxic alumin 
2854,watchedrelative getting second dose quite emotional knowing 
2855,getting vaccine today emotion ranging excitement relief huge thanks absolutely everyone get 
2856,wmarybeard friend mum due 2nd next week march expecting mum 
2857,dubai open seventh clinic covid 19 vaccine shot centrally located al safa healthcare cent 
2858,turkey report 186 new death covid19 drfahrettinkoca 
2859,nutritionalthe3 adri_verster tomgreenfield asked u wait 15 min car park incase th 
2860,anyone care help understand government say itokay wait 12 week colleague h 
2861,thank volunteer assisting medical staff brilliant organisation 
2862,khameneired crescent announcedban import 150 000 
2863,antonioguterres khameneiban purchase 
2864,maryam_rajavi khameneired crescent announcedban import 150 000 
2865,2 blindly trust pfizer cnn bill gate fauci biased medium monopoly tell exper 
2866,getting slowly surely stay strong everyone 
2867,busy bee day 2 stghnursing job week mariaba01464133 
2868,borisjohnson rollout vaccine slow care home gps cancelling vacc 
2869,turkey report 186 new death covid19 drfahrettinkoca 
2870,natalieamiri khameneired crescent announcedban import 150 000 
2871,yvonnem28 borisjohnson father queue freezing condition first vaccination hour 
2872,natalieamiri antonioguterres khameneiban purchase 
2873,yvonnem28 stevejmayne borisjohnson itdifficult see doescountry like get 
2874,iranpanoramanew antonioguterres khameneiban purchase 
2875,day two post vaccine hullhospitals andhave side effectsfeel well slight ac 
2876,maryam_rajavi maryam_rajavi khameneired crescent announcedban import 150 000 
2877,703 dose matter week profvrr 
2878,king salman get vaccine 
2879,question 
2880,brazilian president jair bolsonaro suggested covid vaccine could turn people crocodile bearded lady wh 
2881,pic fluffer 18 hour post pfizer flu symptom day low grade temp ache g 
2882,1st dose major symptom 2nd dosebit tough sore arm throat low grade fever chill myalgia 
2883,family school community pre_explorers 
2884,highly contagious variant coronavirus discovered united state america 
2885,affected mutation seen contagious coronavirus st 
2886,703 dose matter week profvrr 
2887,administration 1 893 360 first dos vaccine 0 2 adverse event 21 case 
2888,pfizer biontech vaccine moderna vaccine stat offersside side comparison two 
2889,thanks fantastic crew sivuh professionalism patience today 
2890,second dose covid vaccine done 
2891,thank scientist 
2892,part 2 2 
2893,pellegrinip_ zuzanacaputova thumb andrejbabis travel time shorten 
2894,still vaccine selfies okay good second dose done 
2895,update early evidence suggests vaccine protect againstmore contagious variant 
2896,got first jab today 
2897,thank thank hopefully 2021 begood one get vaccinated protect 
2898,grateful opportunity vaccinated help vaccinate fultonhealth mbstadium today 1400 
2899,preliminary study show vaccine work 
2900,patphelanve heard young female nurse inmo_irl refusing take vaccine fear 
2901,science real guide civilisation life success world search forguide 
2902,egbe86211979 theeconomist whatm worried administration different vaccine different 
2903,letgo people needle arm asap 
2904,delighted get feel like start end oflong long slog brill 
2905,people withhistory severe allergic reaction component vaccine take c 
2906,got appointment covid vaccine monday whoop whoop thank wonderful msehospitals 
2907,2015 worried absence mrna vaccine aschallenge warning global pandemic outbreak 
2908,2nd dose live stream image 2nd dose recruiting antibody fightin 
2909,best day ever resident staff curraghhome received pfizer biontech vaccine yesterday first nh 
2910,good friend ispeds heme onc doc made shegot mad crafting skill awesome mom lad 
2911,thank hselive pfizer_ireland connollynursing made happen dose one 
2912,work inskilled nursing facility got first vaccine far le painful flu vaccin 
2913,regarding prolonged interval dos vaccine 
2914,whostrategic advisory group expert immunisation issued recommendation interval administ 
2915,vaccination complete best birthday present one could ask amcollegegastro 
2916,completed vaccination 1st dose 12 18 20 2nd dose 1 8 21 
2917,todayreceived second dose covid19 vaccine thank youfeel great 
2918,thanks icgpnews faculty sivuh amp hselivevery efficient vaccine programme 1st dose front l 
2919,trudeau confident canada enough vaccine september said ottawa track deliver abou 
2920,drtedros endorse given improperly shame following guideline set 
2921,alhamdullilah whatprivilege able protect others around 
2922,whatgreat start 2021 thank connollynursing hscpconnolly elaineadunne vaccine team 
2923,turkey report 186 new death covid19 drfahrettinkoca 
2924,peppe got vaccinated like peppe 
2925,thanks sciencereceived jab today erasmusmc 
2926,stop covid 19 
2927,got 1st dose covid19 vaccine 1 08 2021 
2928,vaccinated grateful finally seelight end tunnel 
2929,ban vaccine uk u supreme leaderorder scrap plan import 150 000 dos 
2930,thank sciencell forgive dead arm 
2931,ruthdavidsonmsp apply pressure uk cmoto reverse decision withholding 2nd 
2932,feeling lucky way covid 19 immunity 
2933,ruthedwards101 aston_pharmacy _emmalou84thinkvisit orderve inspired 
2934,little bright light otherwise dark week thanks yalemed researcher frontline worker onwards 
2935,first covid 19 vaccine work today one step close seeing family hug commence 
2936,appears efffective ofand 15 othe 
2937,side effect first dose heream full hope trust round 2 
2938,khamenei_ir vaccine reduces prevalence used prevention cure 
2939,birmingham_live pfizer jab yesterday feel fine please get vaccinated offered could save 
2940,thank nhsuhcw forvery efficient service today 
2941,great excitement relief vaccination team prepared amp administered vaccine frontline staff member 
2942,
2943,adverse affect vaccine arm isbit sore youexpect injectionfeelbit 
2944,_ affected covid 
2945,drharshvardhan pmoindia donwitness thing india surely lead world 
2946,think got shot look likenormal biological human 
2947,donwitness thing india surely lead world 
2948,donlet u find held back pfizer vaccine trump amp crony investment moderna 
2949,plan purchase 300 million vaccine 
2950,plan purchase 300 million vaccine 
2951,plan purchase 300 million vaccine 
2952,plan purchase 300 million vaccine 
2953,plan purchase 300 million vaccine 
2954,plan purchase 300 million vaccine 
2955,covid 19 vaccine whatin 
2956,almost 24 hour post first dose side effect thus far excessive cleaning diy 
2957,thankful receiving second dose covid 19 vaccine feel entirely normal beyond mild soreness 
2958,yay parent door door trip vaccination centre 1 hr given 
2959,cool_grandad seery_o israel jumped queue vaccine made 17 call 
2960,khameneired crescent announcedban import 150 000 
2961,reaching vulnerable across ni care home retired staff returning uniform help vaccine rol 
2962,antonioguterres khameneiban purchase 
2963,rosiebarton received amp distributed halfmillion amp vaccinesdeliveries c 
2964,doctor dy 2 week taking vaccine course try say itnot 
2965,maryam_rajavi khameneired crescent announcedban import 150 000 
2966,death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban importing15 
2967,happy sunday guy interview interesting infection rate soaring situation critical 
2968,worried covid vaccinemnhs dental nurse vaccine friday side effect painful arm 
2969,death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban importing15 
2970,death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban importing15 
2971,89 year old nan getting vaccination next week shea strong woman butam glad anti 
2972,simple givingjab armgood insight pfizer vaccine slow roll 
2973,thanks littletown medical practice west pcn letting join today n 
2974,first dose pfizer biontech covid19 vaccine received felt really quite emotional ingood way itthe beg 
2975,sex withperson whose pricked vac ed via youtube 
2976,israel leading vaccination drive france floundering africa far behind horizon india 
2977,death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban importing15 
2978,death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban importing15 
2979,first vacc eligible get 
2980,relieved know wife london received 1st dose vaccine friday relieved 
2981,tollexceeds199 300 maryam_rajavi khameneired crescent announcedban importing150 
2982,paid jump queue via mailonline 
2983,economist great task via theeconomist 
2984,met strict standard safety quality 
2985,yesterdayreceived first dose side effect manifested far ove 
2986,ritchedevena poorly march covid 19 time stopped still forwhile close friend 
2987,worth getting early onsunday thanks rbandh 
2988,4th day vaccinating iownhs vaccine amazing atmosphere team go teamiownhs 
2989,like comment share mohfw_india mygovindia pmoindia 
2990,justlittle prick drawing upvaccine 
2991,expect pm imrankhanpti national interest get chief phone 
2992,received second shot two done 
2993,drshanerrr profpaulyoung pallithordarsons us 
2994,people wholike start ostracising others wish get immunised new type jab let 
2995,day 12 vaccinecan confirmdo 3 earsdo 11 toesdo good phon 
2996,proud 
2997,open seventh clinic covid 19 vaccine shot 
2998,buckle buttercup second dose isbear misgiving mild side effect 
2999,plan add vaccination number every county u nowonly managed get county 
3000,tessarakt zephyr9673 side effect profile vaccine pretty much identical 
3001,mom andgot dose 2 vaccine today feeling incredibly thankful humbled 
3002,yes unfortunately government decided go pfizerrecommendations interval 1st j 
3003,urgent dontake vaccine wolf sheep clothing new world order science put undetected microc 
3004,received amp distributed halfmillion amp vaccinesdeliveries continuing week 
3005,second shot done thank science cdcgov nih 
3006,almost 60 hr second vaccine upper arm waslittle sore around vaccination site ye 
3007,provisional order people ireland vaccinated covid 19 18and pr 
3008,24 hour post second dose vaccine 
3009,china surpasses u term absolute number total vaccination israel still leading well ahead 
3010,khameneired crescent announcedban import 150 000 
3011,antonioguterres khameneiban purchase 
3012,maryam_rajavi khameneired crescent announcedban import 150 000 
3013,grandad recieved today he88 lost nan 30 day ago thank 
3014,critical care paramedic wnc recour 2nd pfizer shot today 2shotsinthearm 
3015,iran_policy death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban 
3016,24 hour second dose vaccine fully expecting symptom fatigue 
3017,anti american vaccine please advised immunisation taking clinic already also 
3018,got vaccine sunnybrook billgates control gene already feeling invincible 
3019,great help vaccinate vulnerable local community long way go virus de 
3020,got 2nd dose yesterday mild muscle pain feeling greatgot vac 
3021,eu denmark leading cumulative vaccination per 100 ppl 
3022,elated sister caroline work inchicago hospital asfirst family fu 
3023,richiebbg unless theresomething different vaccine ha 
3024,first covid 19 vaccine today side effect andll giving others thursday middlewic 
3025,enrolled encourage anyone gotten vaccine participate would great collect 
3026,glad get second dose vaccine yesterday immune response kicking minor ache full 
3027,yesssssirski lfg dose number 1 2 heretohappier healthy 2021 feelingok anysq hit dm 
3028,science trust pfizer pitttweet upmcnews paccm paccm_fellows 
3029,question mrna based covid vaccine immunologist expertise stop control replication 
3030,thankful received covid 19 vaccine today thank okchealth hard work 
3031,grateful recieve first dose pfizer 
3032,worked day yesterday post 2nd dose day 2 headache arm painlittle fatigue againm emergen 
3033,happened dose 1 2 feeling incredibly grateful 
3034,eu secures deal double pfizer biontech vaccine supply via daily_states 
3035,180 people vaccinated 4 hr 
3036,absolute bad headacheve suchlong time possible likely could vacci 
3037,ihavesinus 2nd dose sore arm side effect lasted aboutday 
3038,first vaccine today nh worker day hrh queen feel privileged receive wonder 
3039,sineadhorgan1 stghnursing mariaba01464133 bridaosullivan hseimm hpscireland ccohse donnellystephen murfy84 
3040,soactually went looked data side effect vaccine even seco 
3041,khameneired crescent announcedban import 150 000 
3042,got second jab 
3043,antonioguterres khameneiban purchase 
3044,26 hour since 2nd covid 19 pfizer vaccination arm extremely sore andwoke morning 
3045,familiarise astra zeneca vaccine mammoth week ahead good protect people 
3046,_ affected covid 
3047,norway 29 people dead 10 death vaccine 
3048,cdc publishes fact sheet amp info covid vaccine including list people take texas 
3049,quick question warzone relatedam currently shielding work today first vaccine dose 
3050,know covid19 vaccine criticism coming influencers hoping get paid 
3051,watch offer protection 
3052,first dose done 
3053,feeling extremely grateful lucky optimistic received first vaccine wishing everyo 
3054,vaccine although thereone german american vaccine well usednew technology named 
3055,death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban importing15 
3056,4 4 pfizer moderna 
3057,3 4 pentagon run operati 
3058,2 4 according organ 
3059,1 4 operation warp speed 
3060,crashoverrideee vaccine update 5 052 health impact event first 5 day 
3061,dr funi feel good effort atpsa please share get 2021 
3062,writer_dggot dose friday admitfeel though kinda make u nurse superheroes 
3063,feeling privileged first covid vaccine today 
3064,death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban importing15 
3065,completed 2 shot covid19 vaccination series today reaction well grateful scientist 
3066,feeling honoured able today well worth sore arm got ta wait dose number 2 
3067,first vaccine dose 
3068,lebanese government keep postposing promise signagreement people 
3069,connected 
3070,hilarywinch brilliant hilary whatrecord number today whatteamfigure build tomorrow 
3071,2nd dose wasbeast temp 102f overnight nothing 1000mg tylenol sleeping 12 hr 
3072,get pfizer biontech vaccine next day arm feel like run armored tank 
3073,2021 looking quit special completed second vaccine week beautifu 
3074,dose 2 nearly 24 hour ago symptomve experienced issor 
3075,privileged receive dose 1 vaccine thankful people amp science behind hope reach 
3076,natnewswatch anitaoakville pattyhajdu govcanhealth ahs_media sante_qc onthealth janssencanadasingle do 
3077,un cap shoot folk great description 
3078,great uptake clinic week vacc able use 
3079,first vaccine done 2days ago feel absolutely fine 
3080,really privileged thatve offered first vaccination evening back 
3081,due second pfizer biontech vaccine tomorrow rescheduled 18th feb hopefully avoid virus 
3082,know incredibly luckyam thati dos amazing work done 
3083,crystalmundypsy adriandix glad arenthe government lied adhering schedule do 
3084,death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban importing15 
3085,4 ultra cold chain storage requires careful planning dos wasted 
3086,understand second jab given 3 week people 
3087,bcgov adriandix jjhorgan asked u follow guideline since beginning pandemic amp 
3088,36 hour post covid 19 pfizer vaccine 2 ran 10 mile trail fever chill ache feeling great bles 
3089,friend give friend mrna dnpkelly vaccinating sameaker teamwork make immune system wo 
3090,getting dose 2 today thank nurse pharmacist working overtime onsunday 
3091,got vaccine1st shot 
3092,miracle science thank 2nd shot 
3093,death toll exceeds199 300 maryam_rajavi khameneired crescent announcedban importing15 
3094,10minute key stuff know ja 
3095,arm hurtsbit whenlift 
3096,covid vaccine number one done today hopefully wonbe long finished countrywide 
